1;{1,2};{1-6};*
2;{1,2};{1-6};*
3;{3-6};{1-6};*
4;{3-6};{1-6};*
5;{3-6};{1-6};*
6;{3-6};{1-6};*
7;{7-43};{7-NULL};*
8;{7-43};{7-NULL};*
9;{7-43};{7-NULL};*
20;{7-43};{7-NULL};*
30;{7-43};{7-NULL};*
40;{7-43};{7-NULL};*
41;{7-43};{7-NULL};*
43;{7-43};{7-NULL};*
50;{50-NULL};{7-NULL};*
51;{50-NULL};{7-NULL};*
61;{50-NULL};{7-NULL};*
62;{50-NULL};{7-NULL};*
63;{50-NULL};{7-NULL};*
64;{50-NULL};{7-NULL};*
65;{50-NULL};{7-NULL};*
66;{50-NULL};{7-NULL};*
INVALID;{50-NULL};{7-NULL};*
NULL;{50-NULL};{7-NULL};*
